from	to
4137	6506
9223	6506
5970	6506
84962	6506
836	6506
2099	6506
4613	6506
5371_5914	6506
5580	6506
3659	6506
7528	6506
1742	6506
92140	6506
1387	6506
1385	6506
6647	6506
8528	6506
6506	8528
4790	6506
2806	6506
6506	2806
2805	6506
6506	2805
5578	6506
6934	6506
1874	6506
7314_7316	6506
5465	6506
4790_4791_5966_5970_5971	6506
815	4137
814	4137
815_816_817_818	4137
6446	4137
23411	4137
7052	4137
10131_3320_3326_7184	4137
2534	4137
1432	4137
8445	4137
28227_5520_5521_5522_5523_5524_5525_5526_5527_5528_5529	4137
4137	28227_5520_5521_5522_5523_5524_5525_5526_5527_5528_5529
151742_160760_54704_5494_5495_5496_5781_8493_9647	4137
573	4137
23178	4137
5536	4137
3987	4137
5335_5336	4137
4137	5335_5336
5599	4137
9344	4137
5533	4137
9833	4137
5594	4137
5499	4137
6198_6199	4137
4137	6198_6199
6434	4137
64714	4137
100302276	4137
1457_1459	4137
7530	4137
4139	4137
2033	4137
10273	4137
25-1020	4137
10013_10014_51564_83933_9734_9759	4137
10971_2810_7529_7531_7532_7533_7534	4137
6093_9475	4137
3091	4137
6198	4137
6622	4137
4137	6622
57787	4137
207	4137
2289	4137
2288	4137
5585	4137
407040	4137
406921	4137
1612	4137
6427	4137
1515	4137
9295	4137
6195_6196_6197	4137
4137	6195_6196_6197
1020	4137
11200	4137
6812	4137
84446	4137
9520	4137
6714	4137
2475	4137
1432_5600_5603_6300	4137
4137	1432_5600_5603_6300
8878	4137
5610	4137
7189	4137
5530_5532_5533	4137
1111	4137
351	4137
51667	4137
841	4137
5562_5563	4137
840	4137
7020	4137
4609	4137
84630	4137
2011	4137
9024	4137
27	4137
25	4137
1859	4137
5603	4137
8473	4137
5602	4137
5601	4137
5600	4137
5663	4137
839	4137
6667	4137
5566	4137
834	4137
5515_5516	4137
64844	4137
2931_2932	4137
5300	4137
5599_5601_5602	4137
6300	4137
5580-5595	4137
1453	4137
5499_5500_5501	4137
6850	4137
407018	4137
6657	4137
824	4137
983	4137
5594_5595	4137
823	4137
51741	4137
10728	4137
57551	4137
150094	4137
2932	4137
10000_207_208	4137
5260_5261	4137
4137	5260_5261
9873	9223
5587	9223
7159	9223
5803	9223
8826	9223
1514	9223
9689	9223
1513	9223
1822	9223
3570_3572	9223
64072	9223
9311	9223
1184	9223
1605	9223
5879	9223
154796	9223
10155	9223
5921	9223
2185	9223
2634	9223
1520	9223
23558	9223
10276	9223
1508	9223
90952	9223
3276	5970
6195	5970
1021	5970
467	5970
5970	467
51588	5970
55170	5970
1616	5970
301	5970
8870	5970
5970	8870
22984	5970
3660	5970
1017	5970
5970	1017
6188	5970
51773	5970
23054	5970
8904	5970
8110	5970
10401	5970
4792_4793_4794	5970
1961	5970
6778	5970
5970	6778
3066	5970
1960	5970
3065	5970
5970	3065
9531	5970
6774	5970
5970	6774
6612	5970
4520	5970
6772	5970
117581	5970
5549	5970
7994	5970
4087	5970
8462	5970
644	5970
5970	644
1958	5970
5970	1958
84148	5970
8260	5970
5468_6256	5970
55743	5970
8850	5970
29110	5970
999	5970
8651	5970
5970	8651
5894	5970
8453	5970
4869	5970
57591	5970
2130_2313	5970
10540	5970
28992	5970
3836	5970
3303_3304	5970
5970	3303_3304
9314	5970
5292	5970
5970	5292
8841	5970
5970	8841
9475	5970
196	5970
5970	196
7975	5970
